"Rank","Name","Symbol","marketcap","price (HKD)","country"
"1","AIA","1299.HK","882957287424","84.4","Hong Kong"
"2","Hong Kong Exchanges & Clearing","0388.HK","514157477888","406.8","Hong Kong"
"3","Bank of China (Hong Kong)","2388.HK","444479700992","42.04","Hong Kong"
"4","Jardine Matheson","J36.SI","429683253429.31","595.95458173275","Hong Kong"
"5","Sun Hung Kai Properties","0016.HK","412643885056","142.4","Hong Kong"
"6","Swire Pacific","0019.HK","296401076224","81.7","Hong Kong"
"7","China Unicom","0762.HK","235298619392","7.69","Hong Kong"
"8","CK Hutchison Holdings","0001.HK","234015703040","61.1","Hong Kong"
"9","MTR Corporation","0066.HK","223123701760","35.9","Hong Kong"
"10","Techtronic Industries","0669.HK","221334405120","121","Hong Kong"
"11","China Resources Land","1109.HK","214926508032","30.14","Hong Kong"
"12","CLP Group","0002.HK","188346908672","74.55","Hong Kong"
"13","Galaxy Entertainment","0027.HK","165973245952","37.9","Hong Kong"
"14","CK Infrastructure","1038.HK","165790400512","65.8","Hong Kong"
"15","CK Asset Holdings","1113.HK","164979539968","47.14","Hong Kong"
"16","Henderson Land Development","0012.HK","164413505536","33.96","Hong Kong"
"17","Futu Holdings","FUTU","159239857990.12","1143.7385792446","Hong Kong"
"18","China Overseas Land &amp; Investment","0688.HK","147318128640","13.46","Hong Kong"
"19","Swire Properties","1972.HK","146585567232","25.46","Hong Kong"
"20","Hong Kong and China Gas","0003.HK","140695420928","7.54","Hong Kong"
"21","Hongkong Land","H78.SI","137347316898.04","63.810384292603","Hong Kong"
"22","Power Assets","0006.HK","134579290112","63.15","Hong Kong"
"23","WH Group","0288.HK","122785193984","9.57","Hong Kong"
"24","Chow Tai Fook","1929.HK","119168532480","12.08","Hong Kong"
"25","Lenovo","0992.HK","114494996480","9.23","Hong Kong"
"26","Sino Land","0083.HK","110209826816","11.62","Hong Kong"
"27","Orient Overseas Container Line","0316.HK","104140865536","157.7","Hong Kong"
"28","Link REIT","0823.HK","99071557632","38.12","Hong Kong"
"29","Budweiser APAC","1876.HK","98605031424","7.46","Hong Kong"
"30","Regencell Bioscience","RGC","98411431548.814","199.01645591259","Hong Kong"
"31","China Resources Power Holdings","0836.HK","96345047040","18.61","Hong Kong"
"32","Hong Kong Telecom","6823.HK","93085597696","12.28","Hong Kong"
"33","SITC International","1308.HK","90819182592","33.9","Hong Kong"
"34","Wharf REIC","1997.HK","84407115776","27.8","Hong Kong"
"35","China Resources Beer","0291.HK","83241041920","25.66","Hong Kong"
"36","Alibaba Health Information Technology","0241.HK","79978373120","4.96","Hong Kong"
"37","Cathay Pacific","0293.HK","79115476992","13.01","Hong Kong"
"38","China Taiping Insurance","0966.HK","78565244928","21.86","Hong Kong"
"39","Wharf Holdings","0004.HK","78417666048","25.66","Hong Kong"
"40","Everbright Securities Company","6178.HK","75949998080","7.97","Hong Kong"
"41","Kunlun Energy Company","0135.HK","74294222848","8.58","Hong Kong"
"42","Zhuzhou CRRC Times Electric","3898.HK","72741355520","40.76","Hong Kong"
"43","China Merchants Port","0144.HK","71324172288","16.99","Hong Kong"
"44","HK Electric Investments","2638.HK","61853401088","7","Hong Kong"
"45","Want Want China","0151.HK","55592468480","4.71","Hong Kong"
"46","Bosideng","3998.HK","54855421952","4.72","Hong Kong"
"47","China State Construction International","3311.HK","49652834304","9.4","Hong Kong"
"48","Hang Lung Properties","0101.HK","48139280384","9.52","Hong Kong"
"49","Xinyi Glass Holdings","0868.HK","47382208512","10.71","Hong Kong"
"50","ASMPT (ASM Pacific Technology)","0522.HK","46956351488","112.4","Hong Kong"
"51","China Resources Gas Group","1193.HK","46825508864","20.4","Hong Kong"
"52","DFI Retail Group","D01.SI","46469962908.922","34.329361157417","Hong Kong"
"53","PCCW","0008.HK","46176665600","5.96","Hong Kong"
"54","Beijing Enterprises Holdings","0392.HK","44659118080","35.5","Hong Kong"
"55","Kingboard Holdings","0148.HK","41340022784","37.3","Hong Kong"
"56","China Power International Development","2380.HK","41316302848","3.34","Hong Kong"
"57","CTF Services Limited","0659.HK","39335366656","8.74","Hong Kong"
"58","Bank of East Asia","0023.HK","37005733888","14.01","Hong Kong"
"59","Haitian International Holdings","1882.HK","36931440640","23.14","Hong Kong"
"60","CGN Mining Company","1164.HK","35039145984","4.61","Hong Kong"
"61","Kerry Properties","0683.HK","34918416384","24.06","Hong Kong"
"62","GCL Technology","3800.HK","34663895040","1.06","Hong Kong"
"63","Mandarin Oriental","M04.SI","33008766467.778","26.118466119766","Hong Kong"
"64","Silicon Motion","SIMO","32501094053.187","956.37377438545","Hong Kong"
"65","China Everbright Environment Group","0257.HK","31083456512","5.06","Hong Kong"
"66","C&amp;D International Investment Group","1908.HK","29987606528","14.28","Hong Kong"
"67","China Resources Pharmaceutical Group","3320.HK","27517396992","4.38","Hong Kong"
"68","First Pacific Company","0142.HK","25700583424","6.03","Hong Kong"
"69","Guoco","0053.HK","24020748288","73","Hong Kong"
"70","New World Development Company","0017.HK","23907700736","9.5","Hong Kong"
"71","Hang Lung Group","0010.HK","22235226112","16.33","Hong Kong"
"72","Hysan Development","0014.HK","21156368384","20.6","Hong Kong"
"73","HUTCHMED","HCM","19270631957.857","106.70253598928","Hong Kong"
"74","Topsports International","6110.HK","18975739904","3.06","Hong Kong"
"75","Melco Resorts &amp; Entertainment","MLCO","17841893931.286","45.668216209412","Hong Kong"
"76","Yuexiu Property","0123.HK","17631221760","4.38","Hong Kong"
"77","Dah Sing Banking Group","2356.HK","17065832448","12.14","Hong Kong"
"78","Shangri-La","0069.HK","17051771904","4.79","Hong Kong"
"79","SJM Holdings","0880.HK","16618224640","2.34","Hong Kong"
"80","Champion REIT","2778.HK","16135818240","2.63","Hong Kong"
"81","Vtech","0303.HK","15916281856","62.9","Hong Kong"
"82","Pacific Basin Shipping","2343.HK","15801884672","3.06","Hong Kong"
"83","Shanghai Industrial Holdings Limited","0363.HK","15764569088","14.5","Hong Kong"
"84","SUNeVision","1686.HK","14919753728","6.32","Hong Kong"
"85","China Everbright Limited","0165.HK","13549442048","8.04","Hong Kong"
"86","Great Eagle","0041.HK","13265037312","17.74","Hong Kong"
"87","Dah Sing Financial","0440.HK","12821352448","40.12","Hong Kong"
"88","Kerry Logistics Network","0636.HK","12254371840","6.78","Hong Kong"
"89","China Resources Building Materials Technology","1313.HK","12080482304","1.73","Hong Kong"
"90","Allied Group Limited","0373.HK","11630295040","3.31","Hong Kong"
"91","Hongkong and Shanghai Hotels","0045.HK","11368529920","6.82","Hong Kong"
"92","Fortune REIT","0778.HK","10756988928","5.24","Hong Kong"
"93","Melco International Development","0200.HK","9054151680","3.98","Hong Kong"
"94","Chow Sang Sang Holdings","0116.HK","8738973696","13.01","Hong Kong"
"95","Sun Hung Kai &amp; Co.","0086.HK","8145617920","4.15","Hong Kong"
"96","Miramar Hotel and Investment","0071.HK","7642014208","11.06","Hong Kong"
"97","Vitasoy","0345.HK","7126399488","7","Hong Kong"
"98","Tian An China Investments Company","0028.HK","6743919616","4.6","Hong Kong"
"99","Transport International Holdings","0062.HK","6068694016","11.35","Hong Kong"
"100","SmarTone Telecommunications","0315.HK","5779995648","5.25","Hong Kong"
"101","Hutchison Telecommunications Hong Kong Holdings","0215.HK","5686533120","1.18","Hong Kong"
"102","Solowin Holdings","SWIN","4801481681.6908","25.649272117615","Hong Kong"
"103","Sunlight REIT","0435.HK","4667515392","2.67","Hong Kong"
"104","Asia Financial Holdings","0662.HK","4324984320","4.68","Hong Kong"
"105","Wing On Company International","0289.HK","4005570304","13.89","Hong Kong"
"106","Charming Medical","MCTA","3943264293.5026","229.55316555262","Hong Kong"
"107","AMTD Digital","HKD","3735602281.2288","11.886248054504","Hong Kong"
"108","Pico Far East Holdings","0752.HK","3519609088","2.79","Hong Kong"
"109","Harbour Centre Development","0051.HK","3472875264","4.9","Hong Kong"
"110","BOE Varitronix","0710.HK","3405113344","4.37","Hong Kong"
"111","Wing Tai Properties","0369.HK","3389662720","2.47","Hong Kong"
"112","The Cross-Harbour Holdings","0032.HK","3149213440","8.45","Hong Kong"
"113","Troops","TROO","2820610416.8859","22.286715102196","Hong Kong"
"114","China Motor Bus Company","0026.HK","2681478144","59.3","Hong Kong"
"115","Far East Consortium International","0035.HK","2661365248","0.87","Hong Kong"
"116","Café de Coral","0341.HK","2656434688","4.63","Hong Kong"
"117","Emperor Watch &amp; Jewellery","0887.HK","2467280896","0.34","Hong Kong"
"118","Chinese Estates Holdings","0127.HK","2422676224","1.27","Hong Kong"
"119","Giordano","0709.HK","2408260864","1.49","Hong Kong"
"120","Digital Domain","0547.HK","2393774592","0.3","Hong Kong"
"121","Prosperity Real Estate Investment Trust","0808.HK","2335328768","1.47","Hong Kong"
"122","Prenetics","PRE","2023957287.4633","120.2700625515","Hong Kong"
"123","Eagle Nice","2368.HK","1946470144","3.39","Hong Kong"
"124","Hong Kong Ferry","0050.HK","1849061504","5.19","Hong Kong"
"125","HKR International","0480.HK","1752656000","1.18","Hong Kong"
"126","Shimao Property","0813.HK","1630952448","0.178","Hong Kong"
"127","Texwinca Holdings","0321.HK","1630401408","1.18","Hong Kong"
"128","Melbourne Enterprises","0158.HK","1562499968","62.5","Hong Kong"
"129","Analogue Holdings (ATAL)","1977.HK","1469999872","1.05","Hong Kong"
"130","Television Broadcasts (TVB)","0511.HK","1312162688","2.81","Hong Kong"
"131","Emperor International","0163.HK","1141878016","0.207","Hong Kong"
"132","Neo-Concept International Group","NCI","1129999828.1512","59.744036273956","Hong Kong"
"133","Hong Kong Technology Venture Company (HKTV)","1137.HK","1112328832","1.41","Hong Kong"
"134","Global Cord Blood","CORBF","1099559647.3572","8.2108950376511","Hong Kong"
"135","Diginex","DGNX","1021741194.614","4.8717977223396","Hong Kong"
"136","Lai Sun Development Company","0488.HK","959197056","0.66","Hong Kong"
"137","Prestige Wealth","PWM","720512013.95751","9.149283041954","Hong Kong"
"138","DDC Enterprise","DDC","680571405.33036","23.69429710865","Hong Kong"
"139","AMTD IDEA Group","AMTD","639926755.46318","7.9762980365753","Hong Kong"
"140","Fairwood Holdings","0052.HK","571327744","4.41","Hong Kong"
"141","uCloudlink Group","UCL","476739298.57769","12.66823805809","Hong Kong"
"142","Regal Hotels International","0078.HK","476363968","0.53","Hong Kong"
"143","Reitar Logtech Holdings","RITR","312221520.29809","5.0000440829277","Hong Kong"
"144","TOP Financial Group Limited","TOP","289869649.7888","7.8199000358582","Hong Kong"
"145","J-Long Group","JL","127077699.98741","33.781968154907","Hong Kong"
"146","Masonglory","MSGY","54729134.38096","3.8473908176422","Hong Kong"
"147","Aptorum Group","APM","52602457.826909","6.4592374296188","Hong Kong"
"148","Magic Empire Global (Giraffe Capital)","MEGL","38103479.511724","7.5243078145027","Hong Kong"
"149","Gameone","8282.HK","36480000","0.64","Hong Kong"
"150","VS Media","VSME","26887576.747993","9.7748750448227","Hong Kong"
"151","CCSC Technology International Holdings","CCTG","15711649.313246","4.0147366784096","Hong Kong"
